ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID611669268,15 Blossom Ct,3,h,1400000.0,12/08/2017,3.0,2.0,621.0,39.0,-37.79207,145.11672
ID133901148,3 Jika Pl,3,h,915000.0,24/09/2016,3.0,1.0,140.0,119.0,-37.8148,144.9912
ID650193454,60 Speight St,3,h,891500.0,22/08/2016,1.0,0.0,344.0,99.0,-37.8424,144.8754
ID867233745,48 Derby St,4,h,822000.0,18/03/2017,2.0,2.0,250.0,36.0,-37.7319,144.9461
ID320304628,14 Lovett Dr,4,h,1160000.0,7/05/2016,3.0,2.0,789.0,49.0,-37.7537,144.8729
ID682312940,208/86 Altona St,2,u,458000.0,30/07/2016,1.0,1.0,0.0,13.0,-37.7966,144.9254
ID279509004,12 Tylden Pl,3,h,729000.0,12/08/2017,1.0,1.0,672.0,39.0,-37.6784,144.88797
ID379150442,6 Kynoch La,3,t,560000.0,4/02/2016,2.0,2.0,77.0,15.0,-37.7746,144.8798
ID262978021,15/9 Darling St,2,u,990000.0,4/03/2017,2.0,2.0,0.0,4.0,-37.8379,144.9913
ID582211754,4/4 Powell St,1,u,401500.0,15/07/2017,1.0,1.0,10.0,59.0,-37.841570000000004,144.98935
ID765130191,30 Mulkarra Dr,3,h,840000.0,3/06/2017,2.0,2.0,534.0,44.0,-38.04683,145.1261
ID664142951,1/30 Burns St,3,t,810000.0,24/06/2017,2.0,2.0,209.0,59.0,-37.78707,144.87608
ID421666134,8/129 The Parade,1,u,390000.0,12/11/2016,1.0,1.0,0.0,47.0,-37.7723,144.9094
ID854801750,11 Raleigh St,3,h,770000.0,16/04/2016,1.0,0.0,438.0,99.0,-37.754,144.92600000000004
ID999724927,106 William St,3,h,620000.0,27/06/2016,1.0,2.0,604.0,49.0,-37.6978,144.9686
ID303783489,3/43 The Ridge,2,u,485000.0,8/07/2017,1.0,1.0,0.0,59.0,-37.82945,145.15697
ID931372243,83 Power St,3,h,1170000.0,26/08/2017,2.0,4.0,436.0,22.0,-37.852740000000004,144.88738
ID166180676,12/194 Neerim Rd,1,u,285000.0,8/04/2017,1.0,1.0,0.0,39.0,-37.8875,145.0489
ID594489318,22 Ellesmere St,2,h,875000.0,18/06/2016,1.0,1.0,0.0,99.0,-37.7736,145.0074
ID880871266,1 Walwa Pl,3,h,427000.0,1/07/2017,1.0,2.0,637.0,35.0,-37.91165,144.67241
ID338677649,4/568 Toorak Rd,3,u,1100000.0,4/03/2017,2.0,1.0,0.0,84.0,-37.8429,145.0227
ID824105992,14 Clarence St,2,h,1000000.0,8/07/2017,1.0,0.0,132.0,8.0,-37.78696,144.92556000000005
ID590197137,18 Benjamin St,3,h,860000.0,15/07/2017,1.0,3.0,446.0,109.0,-37.79354,144.8328
ID241791200,4/71 Station Rd,2,t,400000.0,8/07/2017,1.0,1.0,102.0,7.0,-37.711220000000004,144.91863
ID912085968,21 Robeson St,4,h,1110000.0,20/05/2017,1.0,2.0,556.0,84.0,-37.7489,144.9861
ID375156923,1A Kawarren St,3,h,1360000.0,12/08/2017,2.0,2.0,424.0,64.0,-37.78617,145.09202
ID386390035,28 Greeves St,2,h,1350000.0,13/05/2017,1.0,0.0,131.0,119.0,-37.7999,144.9776
ID333187493,10/117 Anderson Rd,1,u,185000.0,22/08/2016,1.0,1.0,2347.0,44.0,-37.7852,144.8272
ID299145494,41 Highfield Rd,3,h,1209000.0,9/09/2017,1.0,2.0,635.0,49.0,-37.78649,145.16773999999995
ID722674046,1/455 Albion St,1,u,265000.0,7/05/2016,1.0,1.0,0.0,19.0,-37.7586,144.9452
ID636032289,1/100 St Elmo Rd,2,u,450000.0,19/11/2016,1.0,1.0,0.0,59.0,-37.759,145.047
ID151721677,10 Cecelia Dr,3,h,806000.0,27/05/2017,2.0,4.0,546.0,54.0,-37.747609999999995,144.8521
ID735309027,1/949 Punt Rd,1,u,310000.0,23/04/2016,1.0,1.0,0.0,49.0,-37.8319,144.9876
ID141288397,84 Centre Rd,5,h,1300000.0,19/08/2017,2.0,2.0,891.0,39.0,-37.836909999999996,145.21268999999995
ID936268784,5 Stewart St,4,h,1870000.0,26/08/2017,2.0,2.0,663.0,24.0,-37.90617,145.02875
ID789343496,1/20 Mulga St,3,t,765000.0,17/06/2017,2.0,2.0,200.0,12.0,-37.86837,144.81502
ID481582675,32c Burns St,2,t,510000.0,22/08/2016,1.0,2.0,118.0,5.0,-37.787,144.8748
ID709465999,4 Hillard St,3,h,1690000.0,24/06/2017,1.0,2.0,706.0,89.0,-37.88066,145.06605
ID441003528,9 John St,4,h,1625000.0,7/05/2016,2.0,2.0,822.0,129.0,-37.7749,144.9762
ID194129015,78 Arnold St,3,h,1540000.0,12/08/2017,2.0,1.0,288.0,79.0,-37.78311,144.96548
ID346608649,35 Pakington St,3,h,1678000.0,27/06/2016,2.0,2.0,361.0,3.0,-37.8663,144.9882
ID320608862,31 Eden St,4,h,1255000.0,24/06/2017,2.0,4.0,712.0,59.0,-37.97145,145.06132
ID952533381,13 Stewart St,2,h,1360000.0,8/10/2016,1.0,1.0,690.0,89.0,-37.9056,145.0288
ID483031246,38 Daisy St,3,h,1040000.0,12/08/2017,1.0,1.0,756.0,58.0,-37.82909,145.233
ID545879387,2 Erica Ct,2,h,736500.0,27/05/2017,1.0,1.0,271.0,5.0,-37.75329,145.04058999999995
ID960960187,1/33 Holyrood St,3,h,1460000.0,15/10/2016,2.0,2.0,413.0,49.0,-37.933,144.9975
ID349025788,63 Kent St,2,h,751000.0,7/05/2016,1.0,1.0,118.0,129.0,-37.7807,144.9288
ID234875461,19 Worrall St,4,h,1471000.0,12/08/2017,2.0,2.0,797.0,69.0,-37.84883,145.12998000000005
ID722189428,25/510 Glenferrie Rd,1,u,348000.0,3/12/2016,1.0,1.0,0.0,69.0,-37.8303,145.0341
ID290427319,14 Holbeach St,5,h,1523500.0,17/06/2017,2.0,2.0,577.0,7.0,-37.85919000000001,145.15851999999995
ID147414268,6 Sapphire St,7,h,1300000.0,19/11/2016,2.0,2.0,614.0,49.0,-37.75,144.8858
ID519705204,32 Ayr St,4,h,800000.0,22/04/2017,1.0,4.0,605.0,39.0,-37.7051,145.0331
ID335161678,226 Murrumbeena Rd,3,h,1076000.0,26/07/2016,1.0,1.0,554.0,59.0,-37.9012,145.0646
ID321512769,6 Wimmera St,3,h,825000.0,28/05/2016,1.0,2.0,538.0,8.0,-37.9454,145.0507
ID606488276,389 Gore St,3,h,2700000.0,12/08/2017,3.0,1.0,433014.0,79.0,-37.797509999999996,144.98309
ID970983833,168 Darebin Dr,3,h,544000.0,29/07/2017,1.0,2.0,534.0,59.0,-37.67024,145.03644
ID179525783,41/106 Southbank Bvd,3,u,720000.0,3/09/2016,1.0,1.0,0.0,26.0,-37.8235,144.9655
ID564274048,10/264 Williams Rd,3,t,910000.0,27/11/2016,2.0,2.0,0.0,39.0,-37.842,145.0046
ID951628303,69 Buckingham St,3,h,1525000.0,9/09/2017,2.0,0.0,195.0,129.0,-37.81384,145.00358
ID583055471,10/12 St Huberts Rd,1,u,350000.0,19/11/2016,1.0,1.0,0.0,39.0,-37.8894,145.0508
ID771250902,2/16 Beaver St,3,t,1370000.0,22/08/2016,2.0,2.0,323.0,49.0,-37.8704,145.0411
ID839211482,108 Michael St,2,h,1350000.0,1/07/2017,1.0,1.0,184.0,119.0,-37.784929999999996,144.98879
ID247410326,14 Alice St,3,h,990000.0,29/04/2017,1.0,3.0,414.0,89.0,-37.7432,144.9573
ID464392447,34 Bliburg St,4,h,650000.0,1/07/2017,1.0,1.0,692.0,59.0,-37.6876,144.91167
ID964914365,35 College St,3,h,2375000.0,27/11/2016,2.0,2.0,472.0,18.0,-37.8171,145.0252
ID153497036,17 Plato Cr,3,h,1025000.0,23/09/2017,1.0,2.0,691.0,69.0,-37.908229999999996,145.16173
ID766618020,14 Emily St,3,h,1646000.0,11/03/2017,2.0,2.0,721.0,49.0,-37.8909,145.0648
ID604767340,4 Papua St,3,h,702000.0,24/09/2016,1.0,1.0,604.0,49.0,-37.7115,145.088
ID656547662,1/7 Sanders Pl,3,t,1582000.0,25/02/2017,3.0,2.0,119.0,14.0,-37.8278,144.9984
ID499212318,4 Wingate St,4,h,1472500.0,28/08/2016,2.0,2.0,592.0,6.0,-37.9351,145.0572
ID693236895,29 Bevan St,4,h,2188000.0,19/11/2016,2.0,2.0,752.0,38.0,-37.8149,145.0747
ID363503838,7 Octantis St,3,h,1369000.0,24/06/2017,1.0,2.0,696.0,44.0,-37.77973,145.16473
ID625551596,950 Heidelberg Rd,3,h,1155000.0,7/11/2016,1.0,2.0,537.0,74.0,-37.7773,145.0379
ID850369129,1093 Riversdale Rd,3,h,2100000.0,1/07/2017,1.0,9.0,841.0,59.0,-37.83729,145.10929
ID155641285,200 West St,4,h,780000.0,17/06/2017,1.0,3.0,697.0,59.0,-37.70159,144.93948
ID745021221,1 Victoria St,2,h,592000.0,3/09/2016,1.0,2.0,577.0,119.0,-37.7137,144.9167
ID673647401,28 Baker Pde,4,t,1650000.0,26/08/2017,2.0,1.0,338.0,14.0,-37.86058,145.08542
ID230502445,29 MacFarlan St,2,h,2325000.0,7/11/2016,2.0,2.0,355.0,19.0,-37.8392,144.9883
ID383218408,5 Barnett St,4,h,830000.0,16/09/2017,1.0,3.0,502.0,15.0,-37.782090000000004,144.84581
ID324827042,10/530 Toorak Rd,2,u,525000.0,28/05/2016,1.0,1.0,0.0,69.0,-37.8424,145.0184
ID913374458,2 View Ct,2,h,1910000.0,7/05/2016,2.0,4.0,696.0,19.0,-37.9249,144.9903
ID904309263,3/4 Murrell St,2,t,434500.0,19/11/2016,1.0,1.0,125.0,44.0,-37.7042,144.9211
ID136341026,2/143 Smith St,1,u,315000.0,19/11/2016,1.0,1.0,0.0,49.0,-37.7566,144.9893
ID684340034,4 Ella Ct,4,h,1300000.0,8/04/2017,2.0,2.0,872.0,49.0,-37.7906,145.1138
ID635285446,1/41 Elizabeth St,3,u,1025000.0,4/03/2017,2.0,2.0,384.0,20.0,-37.9229,145.0557
ID525549713,262 Liberty Pde,3,h,465000.0,28/08/2016,1.0,1.0,413.0,59.0,-37.7399,145.0369
ID402504905,2/9 Mummery St,3,t,1375000.0,8/07/2017,2.0,2.0,366.0,12.0,-37.87904,145.12911
ID891024989,8 Couch St,4,h,691000.0,16/07/2016,1.0,1.0,521.0,69.0,-37.7953,144.8332
ID985483205,19 Hall St,3,h,900000.0,15/07/2017,1.0,0.0,227.0,99.0,-37.752959999999995,144.95967
ID140369650,9 Pearce St,3,h,955000.0,16/04/2016,1.0,1.0,202.0,139.0,-37.8196,144.8839
ID804137477,13 Clinnick St,3,h,935000.0,12/08/2017,1.0,2.0,529.0,59.0,-37.72017,144.99873
ID726469661,95 Station St,2,h,1150000.0,18/03/2017,1.0,0.0,82.0,109.0,-37.8361,144.9403
ID205965553,29 Charlotte St,3,h,901000.0,22/05/2016,1.0,1.0,557.0,119.0,-37.8378,144.8657
ID914571356,23 Bullanoo Ct,3,h,725000.0,22/07/2017,2.0,2.0,672.0,9.0,-37.68989000000001,145.10698
ID665270420,28 Walnut Rd,4,h,1950000.0,14/05/2016,3.0,2.0,665.0,49.0,-37.7889,145.0904
ID428635858,7 Cowra St,3,h,840000.0,8/04/2017,1.0,2.0,577.0,19.0,-37.864000000000004,144.8161
ID959059503,13/561 Glenferrie Rd,1,u,488000.0,10/12/2016,1.0,1.0,0.0,15.0,-37.8272,145.0343
ID157700958,17 Reed St,3,h,1740000.0,28/08/2016,2.0,2.0,147.0,129.0,-37.8448,144.9453
ID197036303,6 Foam St,4,h,1362000.0,19/08/2017,2.0,3.0,549.0,64.0,-38.01695,145.09933999999996
ID610352991,19 Browning Dr,4,h,2000000.0,17/06/2017,2.0,2.0,457.0,23.0,-37.76951,145.16182
ID752358101,153 Coronation St,3,h,967500.0,18/03/2017,1.0,1.0,325.0,129.0,-37.812,144.8804
ID230392335,2/11 Dowling St,3,u,422500.0,30/07/2016,2.0,1.0,195.0,19.0,-37.7062,144.9688
ID185531224,7/12 Oxford St,1,u,340000.0,18/03/2017,1.0,1.0,29.0,93.0,-37.8215,145.1214
ID545080774,124c Hoffmans Rd,3,t,720000.0,15/10/2016,1.0,2.0,190.0,20.0,-37.7418,144.8918
ID769477328,2/5 McDowell St,2,u,540000.0,26/08/2017,1.0,1.0,208.0,24.0,-37.70791,145.09575
ID667133140,3 Belinda Ct,4,h,1015000.0,28/08/2016,2.0,3.0,625.0,22.0,-37.9374,145.0726
ID386388345,23 Yawla St,3,h,1500000.0,7/05/2016,2.0,1.0,565.0,79.0,-37.9134,145.0263
ID458111180,1/76 Carlisle St,2,u,430000.0,3/12/2016,1.0,1.0,0.0,49.0,-37.8675,144.9851
ID586436405,39 Luckins Rd,4,h,1300000.0,7/11/2016,2.0,2.0,697.0,79.0,-37.9318,145.0474
ID572642263,125 Roslyn St,3,h,1950000.0,3/06/2017,1.0,2.0,632.0,79.0,-37.91677,145.00372
ID515831124,12 Willis St,3,h,2050000.0,4/03/2017,2.0,1.0,205.0,109.0,-37.8574,145.0281
ID338224718,3/33 Glen Ebor Av,3,h,786000.0,23/09/2017,1.0,2.0,1271.0,39.0,-37.821509999999996,145.16138999999995
ID705391908,44 Morley St,4,h,825000.0,30/07/2016,2.0,4.0,768.0,49.0,-37.6979,144.9377
ID728873840,5/19 Hughes St,4,t,845000.0,3/06/2017,3.0,2.0,94.0,129.0,-37.852129999999995,145.10928
ID304296304,28 Oakwood Rd,3,h,526500.0,24/06/2017,1.0,2.0,529.0,54.0,-37.7438,144.77059
ID829693141,15/1 Manna Gum Ct,3,t,590000.0,17/09/2016,2.0,2.0,0.0,81.0,-37.7372,144.9764
ID959814810,319/350 Victoria St,2,u,645000.0,7/05/2016,1.0,1.0,0.0,59.0,-37.8055,144.9547
ID769267043,3 Terrara Ct,4,h,1290000.0,24/06/2017,2.0,2.0,407.0,16.0,-37.85028,145.18787
ID860618157,22 Watersedge Cl,4,h,1040000.0,15/07/2017,2.0,2.0,633.0,44.0,-37.88214,145.25058
ID287530804,4 Short St,3,h,746000.0,16/09/2017,1.0,1.0,400.0,69.0,-37.80954000000001,145.25538
ID521083806,35 Shelley St,2,h,905000.0,15/10/2016,1.0,0.0,139.0,99.0,-37.8118,144.9937
ID577448511,2/27 Kenilworth St,2,t,530000.0,16/04/2016,1.0,1.0,0.0,12.0,-37.7141,145.0047
ID372997140,152A Cochrane St,4,h,1830000.0,3/12/2016,2.0,2.0,436.0,99.0,-37.8927,145.0005
ID932291899,50 Dorrit St,3,h,1760000.0,26/08/2017,1.0,2.0,9405.0,139.0,-37.79945,144.96653
ID435213021,4/36 Queens Pde,2,u,600000.0,18/03/2017,1.0,1.0,153.0,49.0,-37.8696,145.0962
ID213747940,6 Burley St,2,u,390000.0,1/07/2017,1.0,1.0,197.0,69.0,-37.61401,145.03301000000005
ID239738858,5 Smith St,3,h,1968500.0,20/05/2017,2.0,2.0,674.0,23.0,-37.9179,145.0429
ID975977256,48 Everard St,3,h,580000.0,19/11/2016,1.0,2.0,650.0,59.0,-37.7002,144.9408
ID542784282,1 Melva St,4,h,1515000.0,6/05/2017,3.0,2.0,635.0,69.0,-37.9107,145.0745
ID687803895,141 Cooper St,3,h,1990000.0,12/06/2016,2.0,2.0,1021.0,19.0,-37.7415,144.8987
ID286844898,1/9 Myrniong St,3,h,967500.0,7/11/2016,2.0,1.0,233.0,68.0,-37.8515,145.0938
ID668358590,11 Abercarn Av,4,h,595000.0,9/09/2017,1.0,0.0,641.0,29.0,-37.61114,144.93683000000001
ID307185010,8/75 Hawdon St,2,u,450000.0,12/08/2017,1.0,0.0,2020.0,21.0,-37.75692,145.06426000000005
ID841535657,3 Dougharty Rd,3,h,790000.0,1/07/2017,2.0,1.0,458.0,10.0,-37.73569000000001,145.05913
ID879360219,4/585 Glen Huntly Rd,2,u,591000.0,10/12/2016,1.0,1.0,815.0,11.0,-37.8857,145.0136
ID892289791,150 Gooch St,3,h,1240000.0,3/06/2017,1.0,1.0,435.0,49.0,-37.75915,145.01043
ID845116717,19 Gilmore Rd,3,h,1485000.0,16/04/2016,2.0,2.0,731.0,59.0,-37.7892,145.131
ID185631361,58 Church St,3,h,570000.0,27/05/2017,1.0,2.0,660.0,59.0,-37.909079999999996,144.65774
ID440502544,16 Fenwick St,2,h,910000.0,18/06/2016,1.0,1.0,100.0,49.0,-37.7879,144.9759
ID321795569,49 Tennyson St,3,h,1800000.0,19/08/2017,2.0,1.0,460.0,109.0,-37.872409999999995,145.05103
ID999196452,10/59 Young St,3,h,1326000.0,20/05/2017,2.0,2.0,718.0,13.0,-37.8065,144.9781
ID666781494,2/13 Emily St,2,u,603000.0,20/05/2017,1.0,1.0,2.0,32.0,-37.8912,145.0644
ID823878193,76 Vincent St,5,h,2255000.0,12/08/2017,3.0,2.0,556.0,7.0,-37.95017,145.02053999999995
ID773400064,2/14 Wamba Rd,3,u,920000.0,18/06/2016,2.0,1.0,388.0,12.0,-37.9329,145.053
ID345662372,2/123 Waterdale Rd,3,t,975000.0,24/06/2017,2.0,1.0,103.0,22.0,-37.76676,145.04333
ID595827329,5/60 Farnham St,1,u,345000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.7826,144.9311
ID805885119,11/19 Wood St,2,u,587134.0,28/08/2016,1.0,1.0,0.0,49.0,-37.7976,144.9454
ID837656429,127 Tucker Rd,4,h,1260000.0,4/03/2017,2.0,2.0,793.0,19.0,-37.9232,145.0502
ID903467881,87 McBryde St,3,h,660000.0,10/12/2016,1.0,2.0,622.0,49.0,-37.7095,144.9757
ID142959045,9 Grace St,3,h,1000000.0,4/03/2017,2.0,2.0,739.0,49.0,-37.7104,145.0817
ID565609732,79 Lincoln Rd,4,h,1726000.0,18/03/2017,2.0,2.0,705.0,44.0,-37.7497,144.9089
ID966770621,3/595 Burke Rd,2,t,775000.0,27/11/2016,2.0,1.0,103.0,59.0,-37.8406,145.0545
ID285189985,15 Orford St,2,h,956000.0,27/06/2016,1.0,2.0,435.0,99.0,-37.7692,144.9042
ID563497116,22 Deakin St,2,h,1400000.0,18/06/2016,1.0,1.0,312.0,133.0,-37.8654,145.0412
ID340232618,1B Simpson Pl,3,h,1670000.0,9/09/2017,3.0,2.0,107.0,49.0,-37.81753,145.01988
ID563427996,25 Hayes Rd,5,h,1440000.0,12/06/2016,3.0,2.0,617.0,29.0,-37.7386,144.917
ID979590074,18/180 Union St,2,u,435000.0,12/06/2016,1.0,1.0,0.0,17.0,-37.7727,144.9497
ID541838688,66 Argyll St,3,h,1100000.0,24/09/2016,1.0,2.0,645.0,59.0,-37.875,145.0861
ID230454188,1 Tamar Dr,4,h,355000.0,3/06/2017,2.0,1.0,766.0,39.0,-37.69791,144.5807
ID122675104,60 Hayward La,3,h,1630000.0,25/02/2017,2.0,0.0,95.0,5.0,-37.8092,144.967
ID895918175,28 Gloucester St,3,h,730000.0,7/05/2016,1.0,1.0,546.0,8.0,-37.721,144.9967
ID559533148,4 Boeing Rd,4,h,1260000.0,10/09/2016,2.0,2.0,697.0,7.0,-37.7141,144.8995
ID860864810,278 Nicholson St,2,h,701000.0,30/07/2016,1.0,0.0,164.0,109.0,-37.8078,144.8979
ID742522570,6 Troup Ct,3,h,485000.0,22/07/2017,1.0,1.0,633.0,59.0,-37.89444,144.65591
ID620746212,365 Liberty Pde,3,h,525500.0,8/10/2016,1.0,1.0,605.0,59.0,-37.7344,145.0404
ID508857384,4 Mawby Rd,4,h,1433500.0,25/02/2017,1.0,1.0,725.0,69.0,-37.9289,145.0502
ID476344874,41 Maidstone St,3,u,767000.0,12/08/2017,2.0,1.0,305.0,14.0,-37.871,144.81153
ID637139877,66 Willmott Dr,3,h,390000.0,29/07/2017,1.0,1.0,301.0,18.0,-37.58739,144.92619
ID628972889,6 Harlington St,3,h,1018000.0,8/07/2017,1.0,2.0,615.0,8.0,-37.920629999999996,145.11186
ID175388776,30 Alexander St,3,h,1297000.0,8/07/2017,2.0,0.0,186.0,129.0,-37.79557,144.99158
ID130204794,83 Truganini Rd,3,h,1910000.0,25/02/2017,1.0,1.0,720.0,104.0,-37.8922,145.0544
ID166553881,1211/50 Albert Rd,2,u,530000.0,3/06/2017,1.0,1.0,1646.0,7.0,-37.83406,144.97131000000005
ID758091098,12 Auckland St,3,h,1365000.0,1/07/2017,1.0,1.0,776.0,94.0,-37.92487,145.04703
ID520571597,75 Sutherland Rd,3,h,1285000.0,25/02/2017,1.0,2.0,186.0,99.0,-37.8554,145.0173
ID118484109,86 Cramer St,3,h,1150000.0,27/11/2016,1.0,4.0,728.0,99.0,-37.7392,144.9937
ID133912799,509 Boronia Rd,4,h,1214000.0,15/07/2017,1.0,2.0,734.0,59.0,-37.852090000000004,145.24268
ID484159275,295 Greenwood Dr,3,h,860500.0,24/09/2016,2.0,0.0,767.0,59.0,-37.7084,145.0788
ID742777305,48 Thomas St,2,h,1000000.0,10/09/2016,1.0,2.0,564.0,71.0,-37.9143,145.0238
ID191564411,1/43 Abbotsford St,2,u,505000.0,27/05/2017,1.0,1.0,0.0,49.0,-37.80206,145.00015
ID511446821,15 Wallace St,4,h,1000000.0,24/09/2016,1.0,1.0,589.0,84.0,-37.7628,144.9459
ID523319273,109 Victoria Rd,3,h,1300000.0,11/02/2017,2.0,1.0,379.0,49.0,-37.7741,145.0109
ID441226166,23 Berry St,3,h,1278000.0,16/07/2016,2.0,3.0,405.0,89.0,-37.7464,144.959
ID957730675,104 Mansfield St,3,h,1080000.0,8/04/2017,1.0,1.0,408.0,8.0,-37.7573,145.0083
ID666495006,12 Northumberland Rd,3,h,815000.0,15/10/2016,1.0,2.0,628.0,64.0,-37.7295,144.9316
ID687578829,6/7 Judd St,2,u,435000.0,28/05/2016,1.0,1.0,0.0,39.0,-37.8986,145.0567
ID710325832,79 Ormond Rd,2,h,940000.0,8/04/2017,1.0,2.0,428.0,4.0,-37.773,144.9332
ID534800702,2 Islington St,4,h,970000.0,22/04/2017,1.0,4.0,615.0,69.0,-37.785,144.8383
ID970869629,305/38 Nott St,2,u,760000.0,12/08/2017,2.0,1.0,0.0,6.0,-37.84158,144.93809
ID598628267,4/26 Cornell St,2,h,706000.0,28/08/2016,1.0,1.0,95.0,59.0,-37.8399,145.0912
ID180405833,94 Wilson St,2,h,800000.0,23/04/2016,1.0,0.0,137.0,109.0,-37.7745,144.9558
ID132911374,1/8 Paw Paw Rd,2,h,507000.0,25/02/2017,1.0,2.0,191.0,5.0,-37.8226,144.8392
ID621017412,11 Howell Pl,3,h,585000.0,14/05/2016,2.0,2.0,631.0,49.0,-37.7934,144.8467
ID350956852,29 Wickham Rd,3,h,1300000.0,28/05/2016,2.0,2.0,586.0,69.0,-37.9431,145.0274
ID824667688,2/635 Malvern Rd,2,u,876000.0,4/03/2017,1.0,1.0,649.0,84.0,-37.8486,145.00799999999995
ID172756256,405/2 Rouse St,1,u,600000.0,25/02/2017,1.0,1.0,6866.0,9.0,-37.8443,144.9437
ID743548284,607/255 Racecourse Rd,2,u,630000.0,4/03/2017,2.0,1.0,0.0,109.0,-37.7886,144.9328
ID931851926,240 Dandelion Dr,3,h,622000.0,3/06/2017,1.0,1.0,372.0,59.0,-37.91655,145.26933
ID452838453,106 Christmas St,3,t,1130000.0,30/07/2016,2.0,1.0,229.0,49.0,-37.7671,145.0153
ID346920576,18a Berembong Dr,2,u,470000.0,13/08/2016,1.0,1.0,218.0,49.0,-37.7337,144.8617
ID694822141,8/86 Queens Pde,3,t,775000.0,28/05/2016,2.0,2.0,0.0,121.0,-37.7918,144.9824
ID182609334,15/2 Gordon Gr,2,u,600000.0,17/09/2016,1.0,2.0,0.0,49.0,-37.8336,144.9882
ID280509249,806/800 Chapel St,2,u,800000.0,6/05/2017,2.0,2.0,0.0,19.0,-37.8361,144.9966
ID739840241,1/14 Arthur St,3,t,1250000.0,7/11/2016,2.0,1.0,80.0,16.0,-37.8416,144.9923
ID326083489,2 Pembroke Rd,3,h,2950000.0,28/05/2016,2.0,2.0,650.0,10.0,-37.8167,145.0797
ID681268458,5 Daours Ct,4,h,932500.0,22/04/2017,2.0,2.0,585.0,69.0,-37.7154,145.0777
ID641578684,3/15 Mitchell St,2,u,735000.0,6/05/2017,1.0,2.0,173.0,49.0,-37.7586,144.9653
ID714238623,104 Purinuan Rd,3,h,635000.0,27/05/2017,2.0,2.0,289.0,10.0,-37.70798,145.02101000000005
ID631775913,22 Contursi Dr,3,h,471000.0,17/06/2017,2.0,1.0,338.0,19.0,-37.705,144.75759
ID475092855,3/58 Moore St,3,t,740000.0,8/10/2016,2.0,1.0,255.0,5.0,-37.7546,144.9713
